ID,Artist,Album,Media type,Xfer option,Xfer type,Image #,Total CDs,Date received,Customer notes,Private notes,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track 21,Track 22,Track 23,Track 24,Track 25,Track 26,Track 27,Track 28
01883-00031,Roger Dawson -- Confident Decision Making: How to Make the Right Choice Every Time,1. Decisions Are the Building Blocks of Life / Categorizing the Decision,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00032,Roger Dawson -- Confident Decision Making: How to Make the Right Choice Every Time,2. Blueprinting the Decision / Intuitive Decision Making,cass,std,mp3,01883-00031,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00033,Roger Dawson -- Confident Decision Making: How to Make the Right Choice Every Time,3. Developing Rapid Reasoning / Expanding Your Options,cass,std,mp3,01883-00031,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00034,Roger Dawson -- Confident Decision Making: How to Make the Right Choice Every Time,4. Logical Decision Making / Handling Uncertainty,cass,std,mp3,01883-00031,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00035,Roger Dawson -- Confident Decision Making: How to Make the Right Choice Every Time,5. Huddling / Barriers to Good Decisions,cass,std,mp3,01883-00031,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00036,Roger Dawson -- Confident Decision Making: How to Make the Right Choice Every Time,6. Styles of Decision Making / Characteristics of Great Decision Makers,cass,std,mp3,01883-00031,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00037,Brian Tracy -- Master Strategies for Higher Achievement: Practical and Proven Tactics for Achieving Your Goals Faster than Ever Before ,1. Inner Development and Outer Success / Purpose and Potential,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00038,Brian Tracy -- Master Strategies for Higher Achievement: Practical and Proven Tactics for Achieving Your Goals Faster than Ever Before ,2. Time and Results / Wealth and Well-Being,cass,std,mp3,01883-00037,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00039,Brian Tracy -- Master Strategies for Higher Achievement: Practical and Proven Tactics for Achieving Your Goals Faster than Ever Before ,3. Family and Relationships / Spirituality and Inner Growth,cass,std,mp3,01883-00037,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00040,Brian Tracy -- Master Strategies for Higher Achievement: Practical and Proven Tactics for Achieving Your Goals Faster than Ever Before ,4. Enterprise and Opportunity / Business and Management,cass,std,mp3,01883-00037,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00041,Brian Tracy -- Master Strategies for Higher Achievement: Practical and Proven Tactics for Achieving Your Goals Faster than Ever Before ,5. Work and Career / Learning and Knowledge,cass,std,mp3,01883-00037,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00042,Brian Tracy -- Master Strategies for Higher Achievement: Practical and Proven Tactics for Achieving Your Goals Faster than Ever Before ,6. Technology and Productivity / Politics and Economics,cass,std,mp3,01883-00037,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00043,"Fr. Anthony de Mello, S.J.","1. Wake Up To Life, De Mello New York Conference",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00044,"Fr. Anthony de Mello, S.J.","2. Wake Up To Life, De Mello New York Conference",cass,std,mp3,01883-00043,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00045,"Fr. Anthony de Mello, S.J.","3. Wake Up To Life, De Mello New York Conference",cass,std,mp3,01883-00043,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00046,"Fr. Anthony de Mello, S.J.","4. Wake Up To Life, De Mello New York Conference",cass,std,mp3,01883-00043,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00047,"Fr. Anthony de Mello, S.J.","5. Wake Up To Life, De Mello New York Conference",cass,std,mp3,01883-00043,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00048,"Fr. Anthony de Mello, S.J.","6. Wake Up To Life, De Mello New York Conference",cass,std,mp3,01883-00043,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00049,"Fr. Anthony de Mello, S.J.","7. Wake Up To Life, De Mello New York Conference",cass,std,mp3,01883-00043,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00050,"Fr. Anthony de Mello, S.J.","8. Wake Up To Life, De Mello New York Conference",cass,std,mp3,01883-00043,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00051,"Fr. Anthony de Mello, S.J.","9. Wake Up To Life, De Mello New York Conference",cass,std,mp3,01883-00043,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00052,"Fr. Anthony de Mello, S.J.","10. Wake Up To Life, De Mello New York Conference",cass,std,mp3,01883-00043,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00053,"Fr. Anthony de Mello, S.J.","11. Wake Up To Life, De Mello New York Conference",cass,std,mp3,01883-00043,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00054,"Fr. Anthony de Mello, S.J.","12. Wake Up To Life, De Mello New York Conference",cass,std,mp3,01883-00043,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00055,The Best of Larry Wilson,1. No Trust - Relating,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00056,The Best of Larry Wilson,2. No Need - Discovering,cass,std,mp3,01883-00055,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00057,The Best of Larry Wilson,3. No Help - Advocating,cass,std,mp3,01883-00055,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00058,The Best of Larry Wilson,4. No Hurry - Supporting,cass,std,mp3,01883-00055,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00059,848-10a. The Course in Winning,1. How Do You Do? / Paying Value to Others,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00060,848-10b. The Course in Winning,2. Cooperative Relationships / The Total Winner,cass,std,mp3,01883-00059,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00061,848-9a. The Course in Winning,1. The Winner's Circle / Identifying Prejudices,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00062,848-9b. The Course in Winning,"2. How to Freshen Your Thinking / Empathy, Understanding and Adaptability",cass,std,mp3,01883-00061,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00063,848-8a. The Course in Winning,1. Touching Other Lives / Mastering the Balancing Act,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00064,848-8b. The Course in Winning,2. The Quality of Life / Close Encounters of the Fourth Kind,cass,std,mp3,01883-00063,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00065,848-7a. The Course in Winning,1. The Amazing Self-Fulfilling Prophecy / From Problems to Opportunities,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00066,848-7b. The Course in Winning,2. Living Enthusiastically / Strength of Character,cass,std,mp3,01883-00065,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00067,848-5a. The Course in Winning,1. I Am Responsible for Me / Enjoying Self-Reliance,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00068,848-5b. The Course in Winning,2. How to Conquer Procrastination / Causing Your Own Effects in Life,cass,std,mp3,01883-00067,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00069,848-3a. The Course in Winning,1. Seeing With the Mind's Eye / Breaking Through the Comfort Zone,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00070,848-3b. The Course in Winning,2. You Can Get What You Set / The Power of Belief Set,cass,std,mp3,01883-00069,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00071,848-2a. The Course in Winning,1. To Feel Competent and Worthy / Understanding Your Need to Belong,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00072,848-2b. The Course in Winning,2. The Internal Code / I Like Myself,cass,std,mp3,01883-00071,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00073,848-1a. The Course in Winning,1. Life Purpose / Making the Present Tend to the Future,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00074,848-1b. The Course in Winning ,2. Keeping Dreams Alive / Hard Facts About Goals,cass,std,mp3,01883-00073,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00075,"Thomas G. Lipscomb II, CLU","Seminar 1, Tape 1",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00076,"Thomas G. Lipscomb II, CLU","Seminar 1, Tape 2",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00077,"Thomas G. Lipscomb II, CLU","Seminar 2, Tape 1",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00078,"Thomas G. Lipscomb II, CLU","Seminar 2, Tape 2",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00079,"Thomas G. Lipscomb II, CLU","Seminar 3, Tape 1",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00080,"Thomas G. Lipscomb II, CLU","Seminar 3, Tape 2",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00081,"Thomas G. Lipscomb II, CLU","Seminar 2, Tape 3",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00082,"Brian Tracy, Marjorie & Morton Shaevitz, Bert Decker, Earl Nightingale",Positive Patterns For Communication,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00083,"Thomas G. Lipscomb II, CLU","Seminar 4, Tape 1",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00084,"Thomas G. Lipscomb II, CLU","Seminar 4, Tape 2",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00085,"Donald R. Gallagher, Earl Nightingale, Eileen McDargh",Nightingale-Conant's Insight,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00086,"Thomas G. Lipscomb II, CLU","Creating Thirsty Prospects, Tape 2",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00087,"Thomas G. Lipscomb II, CLU","Creating Thirsty Prospects, Tape 1",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00088,"Thomas G. Lipscomb II, CLU","Seminar #1, Tape 1 - October 5, 2000",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00089,"Thomas G. Lipscomb II, CLU","Seminar #1, Tape 2 - October 5, 2000",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00090,"Robert Nuno, John Wilson",Mission DI: Meeting the DI Needs of Today's Prospects,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00091,"Thomas G. Lipscomb II, CLU",Developing a Clear Vision for the Opportunity,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00092,"Brian Tracy, Russell Riendeau, Perry Smith, Earl Nightingale",Strategies for Professional Growth,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00093,"Arthur Freeman, Earl Nightingale, Stan Cottrell",Nightingale-Conant's Insight,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00094,James A. Zara,"From $20.83 to $1,000,000",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00095,"John Adams, James Huston",Disability Insurance: Setting Yourself Apart From Your Competition,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00096,"Brian Tracy, Ken Blanchard, Jim Rohn, Earl Nightingale",Meeting the Challenge of Excellence,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00097,"Brian Tracy, Jeff Zakaryan, Philip Crosby, Earl Nightingale",New Horizons of Opportunity,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00098,Scott Schwartz & Tom Weilert,How We Sell Disability Income Insurance,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00099,"Richard Balamucki, CLU, ChFC",No Brains / No Emotion Investment System,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00100,"Todd Schoon, Matt Russo, Richard Worrell, Chris Faicco, Elaine Cacarillo",Road to Forum,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00101,"Gerard Hempstead, Heather Eaton",A Day in the Life of a Forum Member,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00102,"Robert Skelly, Jay Nachowitz",Bob and Jay's Excellent DI Adventure,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00103,"Brian Tracy, Napoleon Hill, Alan Loy McGinnis, Earl Nightingale",Building Self-Confidence,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00104,"Tim J. Harrison, Jeremy Dicker","Sales Cycle: Varsity Blues, Part 1",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00105,"Patrick DiCerbo, Trent Beckwith","Create a Market Opportunity That Will Last a Lifetime, Part 1",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00106,Keith Wagner,Selling Variable Life Insurance,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00107,"Thomas Lipscomb, III & Daniel Wisted",Session 2: DI: How to Sell More Than Ever Before,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00108,"R. Allen Angell, Scott Lane, Eddie Caldwell, Kraig Stockdale","The Forum and Beyond, Part 1",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00109,"Peter Alofsin, Thomas Swartout, Geoffrey Passehl",Fact Finding and Closing / The Sales Cycle - All One Step / The Sales Process: Closing Presentation,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00110,"Bradley Baune, Chris Courtney, Ronald Krizek",Gaining Commitment During the First Appointment,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00111,Scott Schwartz & Andy Schwartz,Increasing Productivity - It's the Process Stupid! pt. 1,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00112,"J.R. Fruge, J.K. Sadler, Jr., CLU","Newer Agent: ""I Never Promised You A Rose Garden""",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00113,Scott Schwartz & Andy Schwartz,Increasing Productivity - It's the Process Stupid! pt. 2,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00114,"Curt Carlson, Jeremy Dicker",Road to Forum / I'm All Growed Up and Thinking Beyond Forum,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00115,Robert Skelly,The Sale Is Made in the Factfinder,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00116,Robert A. Nuno,Keeping It Simple and Effective,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00117,"Jeff Reeter, Thomas Lipscomb, III, F. Weldon Baird, Douglas Dawson",Opening Session...Stages of a Financial Representative,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00118,Jim Fruge,Duck Story,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00119,Keith Wagner,General Session,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00120,"Hugh Thompson Jr., CLU",Sales Cycle - The Modified Ledger,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00121,"Leo Buscaglia, Earl Nightingale, Mike Wickett",Nightingale-Conant's Insight,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00122,"Brian Tracy, Tony Alessandra, Garrison Krause, Earl Nightingale",Developing Your Awareness,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00123,"Thomas G. Lipscomb II, CLU","Seminar 1, Tape 1 - Richmond Location - December 18, 2000",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00124,"Thomas G. Lipscomb II, CLU","Seminar 1, Tape 2 - Richmond Location - December 18, 2000",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00125,Curtis Estes,General Session: Impact of What We Do,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00126,"W Mitchell, Earl Nightingale, Tony Alessandra",92 Nightingale-Conant's Insight,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00127,"Thomas G. Lipscomb II, CLU",Selling Permanent Insurance: The Quantum Leap,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00128,"Thomas G. Lipscomb II, CLU","Seminar 3, Tape 3 - Richmond Location",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00129,"Thomas G. Lipscomb II, CLU","Seminar 3, Tape 2 - Richmond Location",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00130,"Thomas G. Lipscomb II, CLU","Seminar 3, Tape 1 - Richmond Location",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00131,Scott T. Penning,How to Get from Here to There,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00132,Samuel Schlanger,FastStart,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00133,James R. Fruge,"""You Do What You Want...""",cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00134,Louis Cassara,Closing Session,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00135,Andy M. Schwartz,Your Job Is My Dream,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00136,"Louis Cassara, CLU, ChFC",From Believing to Knowing...,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00137,"Jim Frug'e, CLU, ChFC, MS",Who Are You?,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01950-00001,Joseph Fortino,"Class of Christian Burial - March 14, 2014",cass,std,CD,,,12/19/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01969-00001,,12/29/78 to Mike & Tina,cass,del,mp3,,,12/19/2014,Preferred email tinafdennis@aol.com Paypal email kenregency@aol.com,,unlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,
01866-00001,Joan Baez,The Joan Baez Ballad Book,LP,std,CD,,,12/19/2014,Linked to order #1971 (LP one of a double),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01971-00001,Joan Baez,The Joan Baez Ballad Book,LP,std,CD,01866-00001,,12/19/2014,Linked to order #1866 (LP two of a double),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01964-00001,"Otis Redding, Various",The Jimi Hendrix Experience,LP,del,CD,,,12/19/2014,,,Like A Rolling Stone (Bob Dylan),"Rock Me, Baby (B.B. King-Joe Josea)",Can You See Me (Jimi Hendrix),Wild Thing (C. Taylor),Shake (Sam Cook),Respect (Otis Redding),I've Been Loving You Too Long (Otis Redding-Jerry Butler),(I Can't Get No) Satisfaction (Mick Jagger-Keith Richard),Try A Little Tenderness (Harry Woods-Jimmy Campbell-Reg Connelly),,,,,,,,,,,,,,,,,,,
01956-00001,Brooke Thuna,,cass,std,CD,,,12/19/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01820-00001,"Los Pachulos, Coro Parroquial, Angel Carril",Tradicion Musical en MACOTERA,cass,del,CD,,,12/22/2014,,,Charrada de San Roque,La ronda,La guitarra pide vino,La Gregoriana,Jesus es rey,En la calle de Santa Ana,Charrada macoterana,Danza de El Santo,Nos comen tos los jamones,Jota de carnaval,Venid que hoy es Nochebuena ,"Sarandan, sarandan, sarandillo",La serrana de la sierra,Ven Nino a mi corazon,Entre las pajas,El Senor me ha dicho,Kirie,Gloria,Aleluya,Credo,Sanctus,,,,,,,
01932-00001,The Cure,Between the Forest and the Sea -- The Robert Smith Interviews Volume 1,LP,del,mp3,,,12/22/2014,,This is spoken word...should this really be deluxe?,Interview Part One,Interview Part Two,,,,,,,,,,,,,,,,,,,,,,,,,,
01962-00001,Paul Vanase,In the World of Baby Bones,LP,del,CD/mp3,,2,12/22/2014,,Customer ordered wrong (overpaid),Baby Bones (Vanase),Sticking Needles Through Paper Doll Eyes (Vanase/Harper),Its For Your Name,Broken Chances II (Vanase),Sissy (Vanase),Cosmic Orgy (Vanase),Hopeless Case (Vanase),Sad and Lonely (Vanase),I Can't Care Ever (Vanase/Harper),Dilemma (Stevens),,,,,,,,,,,,,,,,,,
01962-00002,Paul Vanase is Baby Bones,Electroshock Communications,0,,CD/mp3,,2,12/22/2014,,Customer ordered wrong (overpaid),Electroshock,Z.O.M.B.I.E.,,,,,,,,,,,,,,,,,,,,,,,,,,
01975-00001,Abe and Tommy,Penthouse Serenade / Time On My Hands,45,,mp3,,,12/22/2014,,,Penthouse Serenade,Time On My Hands,,,,,,,,,,,,,,,,,,,,,,,,,,
